City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Monterey,US,2021-04-19 01:07:32,36.2505,-121.2516,81.0,67,1,11.5
68,Jamestown,US,2021-04-19 01:07:32,42.097,-79.2353,48.0,76,40,9.22
69,Torbay,CA,2021-04-19 01:05:33,47.6666,-52.7314,36.0,100,90,6.91
70,Fairbanks,US,2021-04-19 01:05:48,64.8378,-147.7164,62.6,33,1,4.61
71,Njombe,TZ,2021-04-19 01:07:33,-9.3333,34.7667,52.38,90,98,8.32
72,Chuy,UY,2021-04-19 01:07:33,-33.6971,-53.4616,62.65,76,5,7.81
73,Vaini,TO,2021-04-19 01:07:34,-21.2,-175.2,80.6,78,20,9.22
74,Arraial Do Cabo,BR,2021-04-19 01:07:34,-22.9661,-42.0278,75.2,88,75,5.75
75,Viedma,AR,2021-04-19 01:07:35,-40.8135,-62.9967,68.13,77,64,12.86
76,Hithadhoo,MV,2021-04-19 01:07:35,-0.6,73.0833,82.51,65,68,7.63
77,Narsaq,GL,2021-04-19 01:07:35,60.9167,-46.05,28.4,34,75,5.75
78,Myaundzha,RU,2021-04-19 01:07:36,63.0494,147.1858,25.7,86,100,4.85
79,Santa,PH,2021-04-19 01:07:36,17.486,120.4348,86.0,42,100,9.1
80,Provideniya,RU,2021-04-19 01:07:36,64.3833,-173.3,30.2,69,0,6.71
81,Tautira,PF,2021-04-19 01:07:37,-17.7333,-149.15,86.0,66,20,9.22
82,Airai,TL,2021-04-19 01:07:37,-8.9266,125.4092,69.71,48,53,2.8
83,Kandrian,PG,2021-04-19 01:07:38,-6.2167,149.55,87.94,61,63,4.18
84,Ust-Kuyga,RU,2021-04-19 01:07:38,70.0167,135.6,13.01,83,93,4.21
85,Salalah,OM,2021-04-19 01:07:38,17.0151,54.0924,78.8,65,0,2.3
86,Sao Domingos,BR,2021-04-19 01:07:39,-13.3983,-46.3183,70.14,85,100,1.07
